Player,PER
Nikola Jokic (2021-22),32.85
Wilt Chamberlain (1961-62),32.08
Giannis Antetokounmpo (2021-22),32.05
Giannis Antetokounmpo (2019-20),31.86
Wilt Chamberlain (1962-63),31.82
Michael Jordan (1987-88),31.71
LeBron James (2008-09),31.67
Wilt Chamberlain (1963-64),31.63
Michael Jordan (1990-91),31.63
LeBron James (2012-13),31.59
Stephen Curry (2015-16),31.46
Nikola Jokic (2020-21),31.28
Michael Jordan (1989-90),31.18
Joel Embiid (2021-22),31.16
Michael Jordan (1988-89),31.14
LeBron James (2009-10),31.1
Giannis Antetokounmpo (2018-19),30.89
Anthony Davis (2014-15),30.81
LeBron James (2011-12),30.74
David Robinson (1993-94),30.66
Shaquille O'Neal (1999-00),30.65
Russell Westbrook (2016-17),30.63
James Harden (2018-19),30.57
Shaquille O'Neal (1998-99),30.55
Dwyane Wade (2008-09),30.36
Tracy McGrady (2002-03),30.27
Anthony Davis (2018-19),30.26
