Player,Distance,FG%,Order,Sort
Nikola Jokic,0-3ft%,0.776,E,1
Nikola Jokic,3-10ft%,0.606,D,1
Nikola Jokic,10-16ft%,0.565,C,1
Nikola Jokic,16ft-3P%,0.467,B,1
Nikola Jokic,3P%,0.337,A,1
Giannis Antetokounmpo,0-3ft%,0.808,E,7
Giannis Antetokounmpo,3-10ft%,0.421,D,7
Giannis Antetokounmpo,10-16ft%,0.416,C,7
Giannis Antetokounmpo,16ft-3P%,0.431,B,7
Giannis Antetokounmpo,3P%,0.293,A,7
Joel Embiid,0-3ft%,0.763,E,6
Joel Embiid,3-10ft%,0.409,D,6
Joel Embiid,10-16ft%,0.431,C,6
Joel Embiid,16ft-3P%,0.428,B,6
Joel Embiid,3P%,0.371,A,6
LeBron James,0-3ft%,0.796,E,4
LeBron James,3-10ft%,0.465,D,4
LeBron James,10-16ft%,0.382,C,4
LeBron James,16ft-3P%,0.426,B,4
LeBron James,3P%,0.359,A,4
Kevin Durant,0-3ft%,0.744,E,2
Kevin Durant,3-10ft%,0.516,D,2
Kevin Durant,10-16ft%,0.528,C,2
Kevin Durant,16ft-3P%,0.575,B,2
Kevin Durant,3P%,0.383,A,2
Jimmy Butler,0-3ft%,0.701,E,8
Jimmy Butler,3-10ft%,0.415,D,8
Jimmy Butler,10-16ft%,0.457,C,8
Jimmy Butler,16ft-3P%,0.339,B,8
Jimmy Butler,3P%,0.233,A,8
Luka Doncic,0-3ft%,0.778,E,5
Luka Doncic,3-10ft%,0.499,D,5
Luka Doncic,10-16ft%,0.44,C,5
Luka Doncic,16ft-3P%,0.356,B,5
Luka Doncic,3P%,0.353,A,5
Trae Young,0-3ft%,0.62,E,3
Trae Young,3-10ft%,0.451,D,3
Trae Young,10-16ft%,0.469,C,3
Trae Young,16ft-3P%,0.513,B,3
Trae Young,3P%,0.382,A,3
Ja Morant,0-3ft%,0.706,E,9
Ja Morant,3-10ft%,0.433,D,9
Ja Morant,10-16ft%,0.384,C,9
Ja Morant,16ft-3P%,0.241,B,9
Ja Morant,3P%,0.344,A,9
