Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Nickeil Alexander-Walker,SG,23,TOT,65,1466,0.372,15.8,NA,0.503,0.213,0.162,0.071,0.057,0.497,NA,0.433,0.579,0.318,0.375,0.282,0.311,NA,0.399,0.876,NA,0.015,8,NA,0.24,0.37,NA,2,0,alexani01
Justin Anderson,SF,28,TOT,16,316,0.379,18.9,NA,0.379,0.147,0.095,0.042,0.095,0.621,NA,0.583,0.714,0.444,0.25,0.667,0.254,NA,0.667,0.933,NA,0.032,1,NA,0.339,0.4,NA,0,0,anderju01
D.J. Augustin,PG,34,TOT,55,883,0.423,20.3,NA,0.261,0.131,0.086,0.018,0.027,0.739,NA,0.448,0.586,0.368,0.25,0.167,0.415,NA,0.308,0.824,NA,0,0,NA,0.238,0.462,NA,0,0,augusdj01
Marvin Bagley III,PF,22,TOT,48,1146,0.504,9.2,NA,0.783,0.327,0.363,0.081,0.011,0.217,NA,0.579,0.795,0.457,0.306,0.2,0.237,NA,0.658,0.913,NA,0.126,52,NA,0.485,0.213,NA,1,0,baglema01
DeAndre' Bembry,SF,27,TOT,56,1026,0.561,6.2,NA,0.837,0.584,0.249,0,0.005,0.163,NA,0.589,0.667,0.418,NA,0,0.417,NA,0.725,1,NA,0.104,20,NA,0.611,0.545,NA,0,0,bembrde01
Dāvis Bertāns,PF,29,TOT,56,807,0.36,23,NA,0.164,0.065,0.069,0.015,0.015,0.836,NA,0.489,0.611,0.421,0,0.75,0.335,NA,0.864,0.987,NA,0.036,9,NA,0.222,0.471,NA,1,0,bertada01
Armoni Brooks,SG-PG,23,TOT,54,844,0.339,23.4,NA,0.138,0.083,0.035,0.01,0.01,0.862,NA,0.6,0.708,0.6,0,0.333,0.297,NA,0.667,0.824,NA,0.014,3,NA,0.137,0.265,NA,1,0,brookar01
Charlie Brown Jr.,SG,24,TOT,22,177,0.256,11,NA,0.692,0.385,0.205,0.077,0.026,0.308,NA,0.333,0.467,0.25,0,0,0.083,NA,0.444,1,NA,0.077,2,NA,0.167,0,NA,0,0,brownch02
Chaundee Brown Jr.,SG-SF,23,TOT,5,104,0.313,17.9,NA,0.438,0.188,0.094,0.156,0,0.563,NA,0.286,0.5,0,0.2,NA,0.333,NA,0.5,1,NA,0,0,NA,0.222,0.25,NA,1,0,brownch05
Moses Brown,C,22,TOT,40,345,0.593,2.5,NA,1,0.75,0.231,0.009,0.009,0,NA,0.593,0.642,0.48,0,0,NA,NA,0.813,NA,NA,0.454,40,NA,NA,NA,NA,0,0,brownmo01
