Player,Distance,% from,Order,Sort
Nikola Jokic,at 0-3ft,0.268,E,1
Nikola Jokic,at 3-10ft,0.384,D,1
Nikola Jokic,at 10-16ft,0.082,C,1
Nikola Jokic,at 16ft-3P,0.046,B,1
Nikola Jokic,at 3P,0.22,A,1
Giannis Antetokounmpo,at 0-3ft,0.406,E,7
Giannis Antetokounmpo,at 3-10ft,0.198,D,7
Giannis Antetokounmpo,at 10-16ft,0.12,C,7
Giannis Antetokounmpo,at 16ft-3P,0.082,B,7
Giannis Antetokounmpo,at 3P,0.194,A,7
Joel Embiid,at 0-3ft,0.253,E,6
Joel Embiid,at 3-10ft,0.194,D,6
Joel Embiid,at 10-16ft,0.24,C,6
Joel Embiid,at 16ft-3P,0.124,B,6
Joel Embiid,at 3P,0.188,A,6
LeBron James,at 0-3ft,0.325,E,4
LeBron James,at 3-10ft,0.141,D,4
LeBron James,at 10-16ft,0.073,C,4
LeBron James,at 16ft-3P,0.094,B,4
LeBron James,at 3P,0.367,A,4
Kevin Durant,at 0-3ft,0.109,E,2
Kevin Durant,at 3-10ft,0.143,D,2
Kevin Durant,at 10-16ft,0.319,C,2
Kevin Durant,at 16ft-3P,0.161,B,2
Kevin Durant,at 3P,0.269,A,2
Jimmy Butler,at 0-3ft,0.306,E,8
Jimmy Butler,at 3-10ft,0.291,D,8
Jimmy Butler,at 10-16ft,0.195,C,8
Jimmy Butler,at 16ft-3P,0.068,B,8
Jimmy Butler,at 3P,0.14,A,8
Luka Doncic,at 0-3ft,0.128,E,5
Luka Doncic,at 3-10ft,0.239,D,5
Luka Doncic,at 10-16ft,0.165,C,5
Luka Doncic,at 16ft-3P,0.062,B,5
Luka Doncic,at 3P,0.406,A,5
Trae Young,at 0-3ft,0.159,E,3
Trae Young,at 3-10ft,0.204,D,3
Trae Young,at 10-16ft,0.116,C,3
Trae Young,at 16ft-3P,0.126,B,3
Trae Young,at 3P,0.395,A,3
Ja Morant,at 0-3ft,0.332,E,9
Ja Morant,at 3-10ft,0.291,D,9
Ja Morant,at 10-16ft,0.135,C,9
Ja Morant,at 16ft-3P,0.025,B,9
Ja Morant,at 3P,0.218,A,9
